Region,Ou Name,Customer Name,Customer Number,Site Use Id,Claim Number,Settlement Method,Status Code,Write Off Account,Offer Owner,Committed Amount,Earned Amount,Claim Owner,Claim Type,Claim Reason,Prior Claim Type,Write Off Account Actual,Claim Date,Amount,Claim Amount Func,Claim Amount USD,Line Amount,Amount Remaining,Amount Remaining Func,Parent Claim Remaining Amt,Currency Code,Customer Ref Number,Customer Ref Date,Claim Ref Quarter,Creation Date,Created By,Last Updated By,Claim Close Date,Transaction Number,AR Transaction Remaining Amount,Subledger,Accounts Payable Invoice Status,Accounts Payable Voucher Number,Accounts Payable Scheduled Payment Date,Accounts Payable Payment Date,Accounts Payable Prepayment Date,Po Number,Overage Amt Trans,Overage Amt Funct,Aged Days,Aged Bucket,Claim Investigation Reason,Claim Description,Receipt Number,Claim Submitter,Claim Pending With,More Info Approver,Claim Approval Type,Days Pending Approval,Days Pending Close,Offer Remaining Amt Trans,Offer Unassociated Amt Trans,Offer Code,Line Offer,Offer Quarter,Offer Status,Offer Start Date,Offer End Date,Budget Name,Budget Category,Offer Type,Activity Type,Accrual Account,Voucher Number,Claim Period From,Claim Period To,Claim TAX Amount,PL Account,Channel Data Set
AMERICA,North America OU,AMAZON.COM,38765,103888.0,DED21468760,,OPEN,,,,,"Ruiz, Teresa",Unknown,Unknown,,,2025-01-06,8441.01,8441.01,8441.01,8441.0,8441.01,8441.01,8441.01,USD,2510-1047311485,,Q4-25,2025-01-07,,,,,,,,,,,,,,,22.0,0-30,,,324555484,,,,,,,,,,,,,,,,,,,,,,,0.0,,
AMERICA,North America OU,AMAZON.COM,38765,103888.0,DED21492716,Credit Memo - On Account,CLOSED,,"Lo, Erin I Lin",28509.42,54908.18,"Ruiz, Teresa",REBATE - T1,REBATE - T1,,,2025-01-09,2322131.67,2322131.67,2322131.67,8916.0,0.0,0.0,0.0,USD,2510-1050500455,,Q4-25,2025-01-09,"Hayes, Susan","Hayes, Susan",2025-01-15,11260225874,0.0,AR,,,,,,,0.0,0.0,6.0,0-30,,,324770130,"Hayes, Susan","McCarthy, Megan",,Claim Analyst,6.0,0.0,25235.0,25235.03,AMR09240479LMP,AMR09240479LMP-FY25Q3 Qtr CUSTOMER REBATES AMAZON.COM Mevo Group,Q2-25,ACTIVE,2024-09-28,2024-12-27,FY25Q3 AMR NAM (NA OU) CUSTOMER REBATES BUDGET - GAMING & S&C,Consumer Rebate,LUMPSUM,Consumer Rebates - Flat amount,11556,,,,0.0,30505,
AMERICA,North America OU,AMAZON.COM,38765,103888.0,DED21492716,Credit Memo - On Account,CLOSED,,"Lo, Erin I Lin",77009.45,93526.87,"Ruiz, Teresa",REBATE - T1,REBATE - T1,,,2025-01-09,2322131.67,2322131.67,2322131.67,19194.0,0.0,0.0,0.0,USD,2510-1050500455,,Q4-25,2025-01-09,"Hayes, Susan","Hayes, Susan",2025-01-15,11260225874,0.0,AR,,,,,,,0.0,0.0,6.0,0-30,,,324770130,"Hayes, Susan","McCarthy, Megan",,Claim Analyst,6.0,0.0,5431.0,5430.76,AMR09240478LMP,AMR09240478LMP-FY25Q3 Qtr CUSTOMER REBATES AMAZON.COM Lights Group,Q2-25,ACTIVE,2024-09-28,2024-12-27,FY25Q3 AMR NAM (NA OU) CUSTOMER REBATES BUDGET - GAMING & S&C,Consumer Rebate,LUMPSUM,Consumer Rebates - Flat amount,11556,,,,0.0,30505,
AMERICA,North America OU,AMAZON.COM,38765,103888.0,DED21492716,Credit Memo - On Account,CLOSED,,"Lo, Erin I Lin",271303.44,382794.04,"Ruiz, Teresa",REBATE - T1,REBATE - T1,,,2025-01-09,2322131.67,2322131.67,2322131.67,5981.0,0.0,0.0,0.0,USD,2510-1050500455,,Q4-25,2025-01-09,"Hayes, Susan","Hayes, Susan",2025-01-15,11260225874,0.0,AR,,,,,,,0.0,0.0,6.0,0-30,,,324770130,"Hayes, Susan","McCarthy, Megan",,Claim Analyst,6.0,0.0,27061.0,27061.0,AMR09240456LMP,AMR09240456LMP-FY25Q3 M2 CUSTOMER REBATES AMAZON.COM Blue Microphones Group,Q2-25,ACTIVE,2024-10-26,2024-11-22,FY25Q3 AMR NAM (NA OU) CUSTOMER REBATES BUDGET - GAMING & S&C,Consumer Rebate,LUMPSUM,Consumer Rebates - Flat amount,11556,,,,0.0,30505,
AMERICA,North America OU,AMAZON.COM,38765,103888.0,DED21492716,Credit Memo - On Account,CLOSED,,"Ness, Von Desiree",167700.15,397448.15,"Ruiz, Teresa",REBATE - T1,REBATE - T1,,,2025-01-09,2322131.67,2322131.67,2322131.67,133115.0,0.0,0.0,0.0,USD,2510-1050500455,,Q4-25,2025-01-09,"Hayes, Susan","Hayes, Susan",2025-01-15,11260225874,0.0,AR,,,,,,,0.0,0.0,6.0,0-30,,,324770130,"Hayes, Susan","McCarthy, Megan",,Claim Analyst,6.0,0.0,174.0,173.61,AMR09240462LMP,AMR09240462LMP-FY25Q3 M2 CUSTOMER REBATES AMAZON.COM Tablet Keyboards Group,Q2-25,ACTIVE,2024-10-26,2024-11-22,FY25Q3 AMR NAM (NA OU) CUSTOMER REBATES BUDGET - PERSONAL WORKSPACE & MUSIC,Consumer Rebate,LUMPSUM,Consumer Rebates - Flat amount,11556,,,,0.0,30505,
AMERICA,North America OU,AMAZON.COM,38765,103888.0,DED21492716,Credit Memo - On Account,CLOSED,,"Ness, Von Desiree",1962181.3,1822404.86,"Ruiz, Teresa",REBATE - T1,REBATE - T1,,,2025-01-09,2322131.67,2322131.67,2322131.67,43957.0,0.0,0.0,0.0,USD,2510-1050500455,,Q4-25,2025-01-09,"Hayes, Susan","Hayes, Susan",2025-01-15,11260225874,0.0,AR,,,,,,,0.0,0.0,6.0,0-30,,,324770130,"Hayes, Susan","McCarthy, Megan",,Claim Analyst,6.0,0.0,529987.0,529987.29,AMR09240482LMP,AMR09240482LMP-FY25Q3 Qtr CUSTOMER REBATES AMAZON.COM Webcams Group,Q2-25,ACTIVE,2024-09-28,2024-12-27,FY25Q3 AMR NAM (NA OU) CUSTOMER REBATES BUDGET - PERSONAL WORKSPACE & MUSIC,Consumer Rebate,LUMPSUM,Consumer Rebates - Flat amount,11556,,,,0.0,30505,
AMERICA,North America OU,AMAZON.COM,38765,103888.0,DED21492716,Credit Memo - On Account,CLOSED,,"Wells, Michelle",3697636.44,5632293.77,"Ruiz, Teresa",REBATE - T1,REBATE - T1,,,2025-01-09,2322131.67,2322131.67,2322131.67,1468948.0,0.0,0.0,0.0,USD,2510-1050500455,,Q4-25,2025-01-09,"Hayes, Susan","Hayes, Susan",2025-01-15,11260225874,0.0,AR,,,,,,,0.0,0.0,6.0,0-30,,,324770130,"Hayes, Susan","McCarthy, Megan",,Claim Analyst,6.0,0.0,526713.0,526712.62,AMR09240477LMP,AMR09240477LMP-FY25Q3 Qtr CUSTOMER REBATES AMAZON.COM Gaming Steering Wheels/Gamepads Group,Q2-25,ACTIVE,2024-09-28,2024-12-27,FY25Q3 AMR NAM (NA OU) CUSTOMER REBATES BUDGET - GAMING & S&C,Consumer Rebate,LUMPSUM,Consumer Rebates - Flat amount,11556,,,,0.0,30505,
AMERICA,North America OU,AMAZON.COM,38765,103888.0,DED21492716,Credit Memo - On Account,CLOSED,,"Yuan, Andrew",772053.98,1013754.82,"Ruiz, Teresa",REBATE - T1,REBATE - T1,,,2025-01-09,2322131.67,2322131.67,2322131.67,275548.0,0.0,0.0,0.0,USD,2510-1050500455,,Q4-25,2025-01-09,"Hayes, Susan","Hayes, Susan",2025-01-15,11260225874,0.0,AR,,,,,,,0.0,0.0,6.0,0-30,,,324770130,"Hayes, Susan","McCarthy, Megan",,Claim Analyst,6.0,0.0,31200.0,31200.31,AMR09240461LMP,AMR09240461LMP-FY25Q3 M2 CUSTOMER REBATES AMAZON.COM Pointing Devices Group,Q2-25,ACTIVE,2024-10-26,2024-11-22,FY25Q3 AMR NAM (NA OU) CUSTOMER REBATES BUDGET - PERSONAL WORKSPACE & MUSIC,Consumer Rebate,LUMPSUM,Consumer Rebates - Flat amount,11556,,,,0.0,30505,
AMERICA,North America OU,AMAZON.COM,38765,103888.0,DED21492716,Credit Memo - On Account,CLOSED,,"Yuan, Andrew",953937.55,1759307.18,"Ruiz, Teresa",REBATE - T1,REBATE - T1,,,2025-01-09,2322131.67,2322131.67,2322131.67,366472.0,0.0,0.0,0.0,USD,2510-1050500455,,Q4-25,2025-01-09,"Hayes, Susan","Hayes, Susan",2025-01-15,11260225874,0.0,AR,,,,,,,0.0,0.0,6.0,0-30,,,324770130,"Hayes, Susan","McCarthy, Megan",,Claim Analyst,6.0,0.0,1.0,0.83,AMR09240460LMP,AMR09240460LMP-FY25Q3 M2 CUSTOMER REBATES AMAZON.COM PC Keyboards & Combos Group,Q2-25,ACTIVE,2024-10-26,2024-11-22,FY25Q3 AMR NAM (NA OU) CUSTOMER REBATES BUDGET - PERSONAL WORKSPACE & MUSIC,Consumer Rebate,LUMPSUM,Consumer Rebates - Flat amount,11556,,,,0.0,30505,
AMERICA,North America OU,AMAZON.COM,38765,103888.0,DED21492717,,OPEN,,,,,"Ruiz, Teresa",Unknown,Unknown,,,2025-01-09,2163672.39,2163672.39,2163672.39,2163672.0,2163672.39,2163672.39,2163672.39,USD,2510-1049991095,,Q4-25,2025-01-09,,,,,,,,,,,,,,,19.0,0-30,,,324770130,,,,,,,,,,,,,,,,,,,,,,,0.0,,
