Offer Code,Offer Name,Offer Description,Offer Status,Offer Type,Activity,PL Account,BS Account,Budget Name,Offer Creation Date,Offer Approval Date,Offer Start Date Active,Offer End Date Active,Fiscal Qtr Start,Fiscal Qtr End,Owner Name,Owner Mgr Name,Created By,Activity Executed,Email Format,Mail Sent Flag,Email Sent Time,External Email,Customer Communication Lag,Days taken for Commitment to Customer,PR Number,PO Number,Offer Currency Code,Committed Amt,Committed Amt At Creation,Earned Amt,Paid Amt,Budget Category,Budget Currency Code,BC Committed Amt,BC Committed Amt At Creation,BC Earned Amt,BC Paid Amt,USD Committed Amt,Committed Amount at Commitment USD,USD Earned Amt,USD Paid Amt,Operating Unit,Account Type,Beneficiary Type,Account Number,Account Name,Logitech Account ID,Site Use ID,Country Desc,Cluster Desc,Market Desc,Sub Region Desc,Region Desc,Parent Code,Reason Code for Terms Change,Notes to approver on changes,Start Date On Approval Flag,Reason Code For Late Entry,Notes For Late Entry
AMR01250144SSA,FY25Q4 BR SX 802LLC 010725,Renwal on AMR11240233SSA1  for 802.LLC (Tishman Speyer) by Sal Mattioli.,ACTIVE,Special Pricing Ship From Stock Accrual,Indirect SPR - Bid Response,30403,11561,FY25Q4- NAM USCAN SPR Budget,2025-01-07,2025-01-09,2025-01-07,2025-04-12,Q4-25,Q1-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","MARKETSTARB2B, MARKETSTARB2B",N,Detail,Y,2025-01-09 14:47:09,"logitech@tdsynnex.com,lometer@logitech.com,rcook1@logitech.com,dstokes@logitechsales.com,smattioli@logitech.com",,0.0,,,USD,762105.7,762105.7,13840.09,13627.42,Sell Through Allowance - Promo,USD,762105.7,762105.7,13840.09,13627.42,762105.7,762105.7,13840.09,13627.42,North America OU,T1,T2,38266,TD SYNNEX CORPORATION,A10978669,103887.0,United States,United States Cluster,United States Markets,North America Region,America,,,,,,
AMR02250075SSA1,FY25Q4_DR0001141342_A11664275_TECHNOLOGY PURCHASING PARTNERS LLC_00040296_AMR02250075SSA_TC_2,"Changes to existing offer (AMR02250075SSA) DR0001141342 from TECHNOLOGY PURCHASING PARTNERS, LLC for end customer American Honda Motor by Dan Hegerman Bundles Requested:- TAPMSTBASEASU ",ACTIVE,Special Pricing Ship From Stock Accrual,Indirect SPR - Pricing Grid Deal Registration,30403,11561,FY25Q4 to FY26Q2- NAM USCAN Deal Reg. Budget,2025-02-11,,2025-02-03,2025-08-03,Q4-25,Q2-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","MARKETSTARB2B, MARKETSTARB2B",N,Detail,Y,2025-02-11 13:24:02,"pmurphy1@logitech.com,daniel.hegerman@logitechsales.com,dstokes@logitech.com,sfdcocrmoffer@logitech.com,logitechteam@ingrammicro.com,rbarbosa@logitech.com",,,,,USD,3697.86,3697.86,7242.34,6503.89,Sell Through Allowance - Promo,USD,3697.86,3697.86,7242.34,6503.89,3697.86,3697.86,7242.34,6503.89,North America OU,T1,T2,1255,INGRAM MICRO,A11664275,103691.0,United States,United States Cluster,United States Markets,North America Region,America,,,,,,
AMR03250167SSA,FY25Q4 BR IM Hayats 030425,BR for Hayats per Tyler Campbell,ACTIVE,Special Pricing Ship From Stock Accrual,Indirect SPR - EOL/Closeout,30403,11561,FY25Q4- NAM USCAN SPR Budget,2025-03-05,2025-03-05,2025-03-04,2025-04-12,Q4-25,Q1-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","MARKETSTARB2B, MARKETSTARB2B",N,Detail,Y,2025-03-05 12:24:43,"LogitechTeam@ingrammicro.com,rbarbosa@logitech.com,robert.hagerson@ingrammicro.com,tyler.campbell@logitechsales.com",,0.0,,,USD,258894.9,258894.9,202159.62,191336.58,Sell Through Allowance - Promo,USD,258894.9,258894.9,202159.62,191336.58,258894.9,258894.9,202159.62,191336.58,North America OU,T1,T2,1255,INGRAM MICRO,A11664275,103691.0,United States,United States Cluster,United States Markets,North America Region,America,,,,,,
AMR03250308STO,FY26Q1 NAM Xsellerator Promo Program IR Ingram Micro-VC & Core (excluded Amazon & CDW),FY26Q1 NAM Xsellerator Promo Program IR 4/1 to 4/12/2025 Ingram Micro-VC & Core (excluded Amazon & CDW),ACTIVE,LOGI Sell Through/PLA Offers,Sell Through Promotion (No Cap),30403,11561,FY26Q1- NAM USCAN SPR Budget,2025-03-28,2025-04-02,2025-04-01,2025-04-12,Q1-26,Q1-26,"Barbosa, Ricardo","Lynch, Jennifer","Leal, Viviana Erandi",N,Summary,Y,2025-04-02 15:22:28,"logitechteam@ingrammicro.com,robert.hagerson@ingrammicro.com,biddesk@logitechsales.com,lometer@logitech.com",,0.0,,,USD,59455.0,59455.0,26298.0,23516.0,Sell Through Allowance - Promo,USD,59455.0,59455.0,26298.0,23516.0,59455.0,59455.0,26298.0,23516.0,North America OU,T1,T2,1255,INGRAM MICRO,A11664275,103691.0,United States,United States Cluster,United States Markets,North America Region,America,,,,N,Other,-
AMR03250312STO,FY26Q1 NAM Xsellerator Promo Program IR Synnex-VC & Core (excluded Amazon & CDW),FY26Q1 NAM Xsellerator Promo Program IR 4/1 to 4/12/2025 Synnex -VC & Core (excluded Amazon & CDW),ACTIVE,LOGI Sell Through/PLA Offers,Sell Through Promotion (No Cap),30403,11561,FY26Q1- NAM USCAN SPR Budget,2025-03-28,2025-04-02,2025-04-01,2025-04-12,Q1-26,Q1-26,"Cook, Robert Joseph","Lynch, Jennifer","Leal, Viviana Erandi",N,Summary,Y,2025-04-02 15:22:28,"jason.ison@tdsynnex.com,logitech@tdsynnex.com,joiem@tdsynnex.com,jennifer.ryerson@tdsynnex.com,lometer@logitech.com,biddesk@logitechsales.com,karen.babb@tdsynnex.com",,0.0,,,USD,28302.0,28302.0,18377.0,18102.0,Sell Through Allowance - Promo,USD,28302.0,28302.0,18377.0,18102.0,28302.0,28302.0,18377.0,18102.0,North America OU,T1,T2,38266,TD SYNNEX CORPORATION,A10978669,103887.0,United States,United States Cluster,United States Markets,North America Region,America,,,,N,Other,-
AMR03250321SSA,FY25Q4 EOL/EX IM Thrifty 030725,"EOL/EXCESS request Thrifty Nickel  per Tyler Campbell ",ACTIVE,Special Pricing Ship From Stock Accrual,Indirect SPR - EOL/Closeout,30403,11561,FY25Q4- NAM USCAN SPR Budget,2025-03-07,2025-03-10,2025-03-07,2025-04-12,Q4-25,Q1-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","MARKETSTARB2B, MARKETSTARB2B",N,Detail,Y,2025-03-10 12:35:11,"LogitechTeam@ingrammicro.com,rbarbosa@logitech.com,robert.hagerson@ingrammicro.com,tyler.campbell@logitechsales.com",,0.0,,,USD,507300.4,507300.4,398341.54,397808.98,Sell Through Allowance - Promo,USD,507300.4,507300.4,398341.54,397808.98,507300.4,507300.4,398341.54,397808.98,North America OU,T1,T2,1255,INGRAM MICRO,A11664275,103691.0,United States,United States Cluster,United States Markets,North America Region,America,,,,,,
AMR03250322SSA,FY25Q4 EOL/EX IM Thrifty 030725a,"Copy of EOL/EXCESS request Thrifty Nickel  per Tyler Campbell ",ACTIVE,Special Pricing Ship From Stock Accrual,Indirect SPR - EOL/Closeout,30403,11561,FY25Q4- NAM USCAN SPR Budget,2025-03-07,2025-03-07,2025-03-07,2025-04-12,Q4-25,Q1-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","MARKETSTARB2B, MARKETSTARB2B",N,Detail,Y,2025-03-07 16:21:11,"LogitechTeam@ingrammicro.com,rbarbosa@logitech.com,robert.hagerson@ingrammicro.com,tyler.campbell@logitechsales.com",,0.0,,,USD,36671.0,36671.0,28097.6,27555.44,Sell Through Allowance - Promo,USD,36671.0,36671.0,28097.6,27555.44,36671.0,36671.0,28097.6,27555.44,North America OU,T1,T2,1255,INGRAM MICRO,A11664275,103691.0,United States,United States Cluster,United States Markets,North America Region,America,,,,,,
AMR03250849SSA,FY25Q4 EOL/EX IM Thrifty 030725a,"EOL/EXCESS request Thrifty Nickel  per Tyler Campbell 5% margins ",ACTIVE,Special Pricing Ship From Stock Accrual,Indirect SPR - EOL/Closeout,30403,11561,FY25Q4- NAM USCAN SPR Budget,2025-03-17,2025-03-19,2025-03-07,2025-04-12,Q4-25,Q1-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","MARKETSTARB2B, MARKETSTARB2B",N,Detail,Y,2025-03-19 15:58:20,"LogitechTeam@ingrammicro.com,rbarbosa@logitech.com,robert.hagerson@ingrammicro.com,lometer@logitech.com,tyler.campbell@Logitechsales.com",,0.0,,,USD,8648.0,8648.0,5361.76,5059.08,Sell Through Allowance - Promo,USD,8648.0,8648.0,5361.76,5059.08,8648.0,8648.0,5361.76,5059.08,North America OU,T1,T2,1255,INGRAM MICRO,A11664275,103691.0,United States,United States Cluster,United States Markets,North America Region,America,,,,,,
AMR03251425SSA,FY25Q4 BR IM SHI 032625,"NEW SKU requested for SHI (JPMC) by Drew Eich/Alex Farkas. (based on Global30) ",ACTIVE,Special Pricing Ship From Stock Accrual,Indirect SPR - Bid Response,30403,11561,FY25Q4- NAM USCAN SPR Budget,2025-03-26,2025-03-27,2025-03-25,2025-04-12,Q4-25,Q1-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","MARKETSTARB2B, MARKETSTARB2B",N,Detail,Y,2025-03-27 11:54:47,"logitechteam@ingrammicro.com,rbarbosa@logitech.com,robert.hagerson@ingrammicro.com,lometer@logitech.com,aeich@logitech.com,afarkas@logitech.com",,0.0,,,USD,4270.0,4270.0,3416.0,2732.8,Sell Through Allowance - Promo,USD,4270.0,4270.0,3416.0,2732.8,4270.0,4270.0,3416.0,2732.8,North America OU,T1,T2,1255,INGRAM MICRO,A11664275,103691.0,United States,United States Cluster,United States Markets,North America Region,America,,,,,,
AMR04250120STO,INGRAM MICRO MILITARY PROGRAM DISCOUNT LIST - PLA/ FY26Q,"INGRAM MICRO MILITARY PROGRAM DISCOUNT LIST - PLA/ FY26Q ",ACTIVE,LOGI Sell Through/PLA Offers,Sell Through Allowance - PLA,30015,11563,FY26Q1-FY26Q4 - NAM USCAN PLA Budget,2025-04-08,2025-04-11,2025-04-13,2025-06-27,Q1-26,Q1-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","Du, Cathy Bich-Thi",N,Detail,Y,2025-04-11 15:04:53,"LogitechTeam@ingrammicro.com,robert.hagerson@ingrammicro.com,biddesk@logitechsales.com,rbarbosa@logitech.com,lometer@logitech.com",,0.0,,,USD,499000.0,499000.0,89597.23,,Sell Through Allowance - PLA,USD,499000.0,499000.0,89597.23,,499000.0,499000.0,89597.23,,North America OU,T1,T2,1255,INGRAM MICRO,A11664275,103691.0,United States,United States Cluster,United States Markets,North America Region,America,,,,N,,
